Category	Disease	Celltype	in_Celltype_true_disease	in_Celltype_false_disease	not_in_Celltype_true_disease	not_in_Celltype_false_disease	odds_ratio	CI_lower	CI_upper	P_value	NumberOfTrueDiseaseGenes	recall	disease_genes_in_Celltype	minZscore	P_fdr	P_bonferroni
CHD	Atrial_septal_defect	Cardiac_fibroblast_progenitors	12	288	83	15375	7.71621380724308	4.2547111727335	Inf	2.4300877336829e-07	95	0.126	NOTCH2|PBX1|ZEB2|SETD5|ARID1B|TBX20|KAT6B|MEIS2|CREBBP|NF1|GATA6|GPC3	1.00053093504475	0.000131710755165613	0
CHD	Atrial_septal_defect	OFT_1	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	ZEB2|NIPBL|NSD1|TAB2|ARID1B|GLI3|KAT6B|CREBBP|ANKRD11|GPC3	1.02691054873027	0.00682201360775213	0.007
CHD	Atrial_septal_defect	VIC_valve_free_segments_1	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	NOTCH2|SETD5|TBX20|GATA4|ABL1|FGFR2|MEIS2|CREBBP|KANSL1|GATA6	1.00357092063565	0.00682201360775213	0.007
CHD	Atrial_septal_defect	VIC_valve_free_segments_2	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	NOTCH2|SETD5|TBX20|GATA4|FGFR2|MEIS2|CREBBP|NF1|KANSL1|GATA6	1.00812534751497	0.00682201360775213	0.007
CHD	Atrial_septal_defect	VIC_valve_free_segments_3	9	291	86	15372	5.52672459362347	2.773295921947	Inf	8.16745344955331e-05	95	0.095	NOTCH2|BMPR2|SETD5|TBX20|TGFBR1|FGFR2|MEIS2|NF1|GATA6	1.00598297048086	0.0408372672477665	0.045
CHD	Atrial_septal_defect	VIC_semilunar_valves	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	NOTCH2|ARID1B|TBX20|GLI3|GATA4|TGFBR1|FGFR2|MEIS2|GATA6|GPC3	1.00099192742076	0.00682201360775213	0.007
CHD	Valve_defects	Cardiac_fibroblast_progenitors	12	288	69	15389	9.28838155479527	5.08772481679755	Inf	3.98698430240903e-08	81	0.148	NOTCH2|PBX1|ZEB2|SETD5|INVS|PRKD1|MEIS2|FBN1|CREBBP|NF1|GATA6|GPC3	1.00053093504475	2.16891946051051e-05	0
CHD	Valve_defects	OFT_1	9	291	72	15386	6.60695722106891	3.29713265958355	Inf	2.28765433047784e-05	81	0.111	ZEB2|NSD1|TAB2|GLI3|INVS|SMAD3|CREBBP|ANKRD11|GPC3	1.02691054873027	0.0117585432586561	0.012
CHD	Valve_defects	OFT_3	10	290	71	15387	7.47150923722539	3.86671743975571	Inf	3.06560321382013e-06	81	0.123	NOTCH2|ZEB2|SETD5|GLI3|INVS|PRKD1|SMAD3|CREBBP|NF1|GPC3	1.0052092785274	0.00164009771939377	0.002
CHD	Valve_defects	VIC_valve_free_segments_2	12	288	69	15389	9.28838155479527	5.08772481679755	Inf	3.98698430240903e-08	81	0.148	NOTCH2|SETD5|GATA4|INVS|FGFR2|PRKD1|MEIS2|FBN1|CREBBP|NF1|KANSL1|GATA6	1.00812534751497	2.16891946051051e-05	0
CHD	Valve_defects	VIC_valve_free_segments_3	9	291	72	15386	6.60695722106891	3.29713265958355	Inf	2.28765433047784e-05	81	0.111	NOTCH2|SETD5|FGFR2|PRKD1|MEIS2|FBN1|SMAD6|NF1|GATA6	1.00598297048086	0.0117585432586561	0.012
CHD	Valve_defects	VIC_semilunar_valves	9	291	72	15386	6.60695722106891	3.29713265958355	Inf	2.28765433047784e-05	81	0.111	NOTCH2|GLI3|GATA4|FGFR2|PRKD1|MEIS2|SMAD6|GATA6|GPC3	1.00099192742076	0.0117585432586561	0.012
CHD	Valve_defects	Pericytes_1	9	291	72	15386	6.60695722106891	3.29713265958355	Inf	2.28765433047784e-05	81	0.111	NOTCH2|ZEB2|SETD5|INVS|FBN1|SMAD6|NF1|KANSL1|GATA6	1.00307982990914	0.0117585432586561	0.012
CHD	Malformation_of_outflow_tracts	Cardiac_fibroblast_progenitors	10	290	54	15404	9.8311610204086	5.03274060989401	Inf	3.28823032930563e-07	64	0.156	NOTCH2|PBX1|ZEB2|TBX20|ZFPM2|PRKD1|MEIS2|CREBBP|NF1|GATA6	1.00053093504475	0.000176906791716643	0
CHD	Malformation_of_outflow_tracts	OFT_3	8	292	56	15402	7.53355007627474	3.56059563772911	Inf	2.75796192638712e-05	64	0.125	NOTCH2|ZEB2|GLI3|ZFPM2|MED13L|PRKD1|CREBBP|NF1	1.0052092785274	0.0140656058245743	0.015
CHD	Malformation_of_outflow_tracts	VIC_valve_free_segments_2	9	291	55	15403	8.65789728040482	4.27574940312104	Inf	3.20408368094315e-06	64	0.141	NOTCH2|TBX20|GATA4|FGFR2|PRKD1|MEIS2|CREBBP|NF1|GATA6	1.00812534751497	0.00171098068562364	0.002
CHD	Malformation_of_outflow_tracts	VIC_valve_free_segments_3	9	291	55	15403	8.65789728040482	4.27574940312104	Inf	3.20408368094315e-06	64	0.141	NOTCH2|BMPR2|TBX20|FGFR2|PRKD1|MEIS2|SMAD6|NF1|GATA6	1.00598297048086	0.00171098068562364	0.002
CHD	Malformation_of_outflow_tracts	VIC_derived_from_neural_crest	9	291	55	15403	8.65789728040482	4.27574940312104	Inf	3.20408368094315e-06	64	0.141	NOTCH2|TBX20|GLI3|GATA4|FGFR2|LTBP2|MEIS2|SMAD6|GATA6	1.00728971269229	0.00171098068562364	0.002
CHD	Malformation_of_outflow_tracts	VIC_semilunar_valves	9	291	55	15403	8.65789728040482	4.27574940312104	Inf	3.20408368094315e-06	64	0.141	NOTCH2|TBX20|GLI3|GATA4|FGFR2|PRKD1|MEIS2|SMAD6|GATA6	1.00099192742076	0.00171098068562364	0.002
CHD	Atrioventricular_septal_defect	Endocardial_to_endothelial_transtition	6	294	20	15438	15.7448828899357	6.15245418528223	Inf	7.56409018164696e-06	26	0.231	ACVR1|BMPR2|FOXP1|ARID1B|NR2F2|ANKRD11	1.00585548540535	0.00400896779627289	0.004
CHD	Functional_single_ventricle	VIC_valve_free_segments_1	5	295	16	15442	16.3483285932861	5.70247626581913	Inf	3.83188463377943e-05	21	0.238	TBX20|GATA4|FGFR2|MEIS2|RBFOX2	1.00357092063565	0.0195042927859373	0.021
CHD	Functional_single_ventricle	VIC_valve_free_segments_2	5	295	16	15442	16.3483285932861	5.70247626581913	Inf	3.83188463377943e-05	21	0.238	TBX20|GATA4|FGFR2|MEIS2|RBFOX2	1.00812534751497	0.0195042927859373	0.021
CHD	Functional_single_ventricle	VIC_derived_from_neural_crest	5	295	16	15442	16.3483285932861	5.70247626581913	Inf	3.83188463377943e-05	21	0.238	TBX20|GATA4|FGFR2|MEIS2|RBFOX2	1.00728971269229	0.0195042927859373	0.021
CHD	Functional_single_ventricle	VIC_semilunar_valves	5	295	16	15442	16.3483285932861	5.70247626581913	Inf	3.83188463377943e-05	21	0.238	TBX20|GATA4|FGFR2|MEIS2|RBFOX2	1.00099192742076	0.0195042927859373	0.021
CHD	AllCHDGenesCombined	Atrial_septum_endocardial_cells	11	289	123	15335	4.74485885300216	2.57443702129746	Inf	5.11085658773026e-05	134	0.082	PBX1|ACVR1|RAF1|FOXP1|KDR|GATA4|CHD7|SMAD6|NR2F2|KANSL1|GATA6	1.00268711533706	0.0258098257680378	0.028
CHD	AllCHDGenesCombined	Capillary_endothelial_cells_2	14	286	120	15338	6.25487716656714	3.64284242009728	Inf	2.67464479120696e-07	134	0.104	RERE|SOS1|BMPR2|SETD5|TGFBR2|KDR|ARID1B|CDK13|BRAF|CHD7|ANKRD11|NF1|KANSL1|RBFOX2	1.00097195743403	0.000144430818725176	0
CHD	AllCHDGenesCombined	Pre_arterial_endothelial_cells_1	12	288	122	15336	5.23602997818163	2.91905556376019	Inf	9.67988414453128e-06	134	0.09	RERE|SOS1|SETD5|TGFBR2|KDR|CDK13|BRAF|CHD7|ANKRD11|NF1|KANSL1|RBFOX2	1.00778924030739	0.00512065871245705	0.005
CHD	AllCHDGenesCombined	Pre_arterial_endothelial_cells_2	13	287	121	15337	5.73981895244781	3.27503784802339	Inf	1.67765980553143e-06	134	0.097	SOS1|BMPR2|TGFBR2|KDR|ARID1B|CDK13|BRAF|KAT6A|CHD7|SMAD6|ANKRD11|KANSL1|JAG1	1.00232380225385	0.000900903315570379	0.001
CHD	AllCHDGenesCombined	Venous_endothelial_cells	12	288	122	15336	5.23602997818163	2.91905556376019	Inf	9.67988414453128e-06	134	0.09	RERE|BMPR2|TGFBR2|FOXP1|KDR|BRAF|KAT6A|CHD7|MED13L|FBN1|NR2F2|SON	1.0059749000894	0.00512065871245705	0.005
CHD	AllCHDGenesCombined	Cardiac_fibroblast_progenitors	16	284	118	15340	7.32271842112366	4.41144830557873	Inf	5.38614107722861e-09	134	0.119	NOTCH2|PBX1|ZEB2|SETD5|ARID1B|TBX20|ZFPM2|INVS|KAT6B|PRKD1|MEIS2|FBN1|CREBBP|NF1|GATA6|GPC3	1.00053093504475	2.94083302816682e-06	0
CHD	AllCHDGenesCombined	Atrial_fibroblasts	11	289	123	15335	4.74485885300216	2.57443702129746	Inf	5.11085658773026e-05	134	0.082	ZEB2|SETD5|TBX20|ZFPM2|INVS|FBN1|CREBBP|NF1|KANSL1|GATA6|SON	1.00063637641677	0.0258098257680378	0.028
CHD	AllCHDGenesCombined	OFT_1	12	288	122	15336	5.23602997818163	2.91905556376019	Inf	9.67988414453128e-06	134	0.09	ZEB2|NIPBL|NSD1|TAB2|ARID1B|GLI3|INVS|KAT6B|SMAD3|CREBBP|ANKRD11|GPC3	1.02691054873027	0.00512065871245705	0.005
CHD	AllCHDGenesCombined	OFT_2	11	289	123	15335	4.74485885300216	2.57443702129746	Inf	5.11085658773026e-05	134	0.082	NOTCH2|TAB2|GLI3|INVS|KAT6B|FGFR2|MED13L|PRKD1|CREBBP|RBFOX2|GPC3	1.00233526948511	0.0258098257680378	0.028
CHD	AllCHDGenesCombined	OFT_3	14	286	120	15338	6.25487716656714	3.64284242009728	Inf	2.67464479120696e-07	134	0.104	NOTCH2|ZEB2|SETD5|GLI3|ZFPM2|INVS|KAT6B|MED13L|PRKD1|SMAD3|CREBBP|NF1|RBFOX2|GPC3	1.0052092785274	0.000144430818725176	0
CHD	AllCHDGenesCombined	VIC_valve_free_segments_1	12	288	122	15336	5.23602997818163	2.91905556376019	Inf	9.67988414453128e-06	134	0.09	PRKACB|NOTCH2|SETD5|TBX20|GATA4|ABL1|FGFR2|MEIS2|CREBBP|KANSL1|GATA6|RBFOX2	1.00357092063565	0.00512065871245705	0.005
CHD	AllCHDGenesCombined	VIC_valve_free_segments_2	15	285	119	15339	6.78173844215958	4.0216839990488	Inf	3.940413832256e-08	134	0.112	PRKACB|NOTCH2|SETD5|TBX20|GATA4|INVS|FGFR2|PRKD1|MEIS2|FBN1|CREBBP|NF1|KANSL1|GATA6|RBFOX2	1.00812534751497	2.14752553857952e-05	0
CHD	AllCHDGenesCombined	VIC_valve_free_segments_3	12	288	122	15336	5.23602997818163	2.91905556376019	Inf	9.67988414453128e-06	134	0.09	NOTCH2|BMPR2|SETD5|TBX20|TGFBR1|FGFR2|PRKD1|MEIS2|FBN1|SMAD6|NF1|GATA6	1.00598297048086	0.00512065871245705	0.005
CHD	AllCHDGenesCombined	VIC_derived_from_neural_crest	12	288	122	15336	5.23602997818163	2.91905556376019	Inf	9.67988414453128e-06	134	0.09	PRKACB|NOTCH2|TBX20|GLI3|GATA4|TGFBR1|FGFR2|LTBP2|MEIS2|SMAD6|GATA6|RBFOX2	1.00728971269229	0.00512065871245705	0.005
CHD	AllCHDGenesCombined	VIC_semilunar_valves	13	287	121	15337	5.73981895244781	3.27503784802339	Inf	1.67765980553143e-06	134	0.097	NOTCH2|ARID1B|TBX20|GLI3|GATA4|TGFBR1|FGFR2|PRKD1|MEIS2|SMAD6|GATA6|RBFOX2|GPC3	1.00099192742076	0.000900903315570379	0.001
CHD	AllCHDGenesCombined	Pericytes_1	11	289	123	15335	4.74485885300216	2.57443702129746	Inf	5.11085658773026e-05	134	0.082	NOTCH2|ZEB2|SETD5|TBX20|ZFPM2|INVS|FBN1|SMAD6|NF1|KANSL1|GATA6	1.00307982990914	0.0258098257680378	0.028
CHD	AllCHDGenesCombined	Smooth_muscle_cells_3	11	289	123	15335	4.74485885300216	2.57443702129746	Inf	5.11085658773026e-05	134	0.082	PBX1|FOXP1|CDK13|GLI3|ELN|ZFPM2|MED13L|SMAD2|JAG1|GPC3|FLNA	1.00054462813345	0.0258098257680378	0.028
