Gene	Trait	n_genes	category
LZTR1	Atrial_septal_defect	96	CHD
MAP2K1	Atrial_septal_defect	96	CHD
MAP2K2	Atrial_septal_defect	96	CHD
MED12	Atrial_septal_defect	96	CHD
MEIS2	Atrial_septal_defect	96	CHD
MYBPC3	Atrial_septal_defect	96	CHD
MYH6	Atrial_septal_defect	96	CHD
MYH7	Atrial_septal_defect	96	CHD
NF1	Atrial_septal_defect	96	CHD
NIPBL	Atrial_septal_defect	96	CHD
NKX2-5	Atrial_septal_defect	96	CHD
NODAL	Atrial_septal_defect	96	CHD
NONO	Atrial_septal_defect	96	CHD
NOTCH2	Atrial_septal_defect	96	CHD
NPHP3	Atrial_septal_defect	96	CHD
NR2F2	Atrial_septal_defect	96	CHD
NSD1	Atrial_septal_defect	96	CHD
PBX1	Atrial_septal_defect	96	CHD
PIGV	Atrial_septal_defect	96	CHD
PITX2	Atrial_septal_defect	96	CHD
PTPN11	Atrial_septal_defect	96	CHD
RAB23	Atrial_septal_defect	96	CHD
RAF1	Atrial_septal_defect	96	CHD
RERE	Atrial_septal_defect	96	CHD
RIT1	Atrial_septal_defect	96	CHD
SALL1	Atrial_septal_defect	96	CHD
SETD5	Atrial_septal_defect	96	CHD
SHOC2	Atrial_septal_defect	96	CHD
SMAD2	Atrial_septal_defect	96	CHD
SMAD4	Atrial_septal_defect	96	CHD
SMARCA4	Atrial_septal_defect	96	CHD
SMARCB1	Atrial_septal_defect	96	CHD
SMARCE1	Atrial_septal_defect	96	CHD
SMC1A	Atrial_septal_defect	96	CHD
SMC3	Atrial_septal_defect	96	CHD
SON	Atrial_septal_defect	96	CHD
SOS1	Atrial_septal_defect	96	CHD
STRA6	Atrial_septal_defect	96	CHD
TAB2	Atrial_septal_defect	96	CHD
TBX20	Atrial_septal_defect	96	CHD
TBX5	Atrial_septal_defect	96	CHD
TGFBR1	Atrial_septal_defect	96	CHD
TGFBR2	Atrial_septal_defect	96	CHD
THOC6	Atrial_septal_defect	96	CHD
TLL1	Atrial_septal_defect	96	CHD
TRAF7	Atrial_septal_defect	96	CHD
TXNL4A	Atrial_septal_defect	96	CHD
UBR1	Atrial_septal_defect	96	CHD
WASHC5	Atrial_septal_defect	96	CHD
ZEB2	Atrial_septal_defect	96	CHD
ZIC3	Atrial_septal_defect	96	CHD
ABL1	Ventricular_septal_defect	42	CHD
ACTC1	Ventricular_septal_defect	42	CHD
ACVR2B	Ventricular_septal_defect	42	CHD
ADAMTS10	Ventricular_septal_defect	42	CHD
ANKRD11	Ventricular_septal_defect	42	CHD
ARID1A	Ventricular_septal_defect	42	CHD
CDK13	Ventricular_septal_defect	42	CHD
CHD4	Ventricular_septal_defect	42	CHD
CITED2	Ventricular_septal_defect	42	CHD
DLL4	Ventricular_septal_defect	42	CHD
DNAH5	Ventricular_septal_defect	42	CHD
ESCO2	Ventricular_septal_defect	42	CHD
EVC	Ventricular_septal_defect	42	CHD
EVC2	Ventricular_septal_defect	42	CHD
GATA4	Ventricular_septal_defect	42	CHD
GDF1	Ventricular_septal_defect	42	CHD
GJA1	Ventricular_septal_defect	42	CHD
GLI3	Ventricular_septal_defect	42	CHD
HAND1	Ventricular_septal_defect	42	CHD
HAND2	Ventricular_septal_defect	42	CHD
HDAC8	Ventricular_septal_defect	42	CHD
JAG1	Ventricular_septal_defect	42	CHD
KDM2B	Ventricular_septal_defect	42	CHD
KDM6A	Ventricular_septal_defect	42	CHD
KRAS	Ventricular_septal_defect	42	CHD
MEIS2	Ventricular_septal_defect	42	CHD
MESP1	Ventricular_septal_defect	42	CHD
NF1	Ventricular_septal_defect	42	CHD
NIPBL	Ventricular_septal_defect	42	CHD
NKX2-5	Ventricular_septal_defect	42	CHD
NKX2-6	Ventricular_septal_defect	42	CHD
PIGL	Ventricular_septal_defect	42	CHD
PITX2	Ventricular_septal_defect	42	CHD
PKD1L1	Ventricular_septal_defect	42	CHD
SALL1	Ventricular_septal_defect	42	CHD
SHOC2	Ventricular_septal_defect	42	CHD
SMARCB1	Ventricular_septal_defect	42	CHD
SMC1A	Ventricular_septal_defect	42	CHD
SOS1	Ventricular_septal_defect	42	CHD
TBX1	Ventricular_septal_defect	42	CHD
TBX5	Ventricular_septal_defect	42	CHD
TMEM260	Ventricular_septal_defect	42	CHD
ACVR2B	Valve_defects	83	CHD
ADAMTS10	Valve_defects	83	CHD
ANKRD11	Valve_defects	83	CHD
ARID1A	Valve_defects	83	CHD
B3GAT3	Valve_defects	83	CHD
BCOR	Valve_defects	83	CHD
BRAF	Valve_defects	83	CHD
CDK13	Valve_defects	83	CHD
CREBBP	Valve_defects	83	CHD
DLL4	Valve_defects	83	CHD
DNAH11	Valve_defects	83	CHD
EHMT1	Valve_defects	83	CHD
ELN	Valve_defects	83	CHD
ESCO2	Valve_defects	83	CHD
EVC	Valve_defects	83	CHD
EVC2	Valve_defects	83	CHD
FBN1	Valve_defects	83	CHD
FGFR2	Valve_defects	83	CHD
FOXP1	Valve_defects	83	CHD
GATA4	Valve_defects	83	CHD
GATA5	Valve_defects	83	CHD
GATA6	Valve_defects	83	CHD
GDF1	Valve_defects	83	CHD
GJA1	Valve_defects	83	CHD
GLI3	Valve_defects	83	CHD
GPC3	Valve_defects	83	CHD
HAAO	Valve_defects	83	CHD
HAND2	Valve_defects	83	CHD
HNRNPK	Valve_defects	83	CHD
HRAS	Valve_defects	83	CHD
INVS	Valve_defects	83	CHD
JAG1	Valve_defects	83	CHD
KANSL1	Valve_defects	83	CHD
KDM6A	Valve_defects	83	CHD
KMT2D	Valve_defects	83	CHD
KRAS	Valve_defects	83	CHD
KYNU	Valve_defects	83	CHD
LTBP2	Valve_defects	83	CHD
LZTR1	Valve_defects	83	CHD
MAP2K1	Valve_defects	83	CHD
MAP2K2	Valve_defects	83	CHD
MAP3K7	Valve_defects	83	CHD
MED12	Valve_defects	83	CHD
MEIS2	Valve_defects	83	CHD
MYH6	Valve_defects	83	CHD
MYH7	Valve_defects	83	CHD
NF1	Valve_defects	83	CHD
NKX2-5	Valve_defects	83	CHD
NODAL	Valve_defects	83	CHD
NONO	Valve_defects	83	CHD
NOTCH1	Valve_defects	83	CHD
NOTCH2	Valve_defects	83	CHD
NPHP3	Valve_defects	83	CHD
NRAS	Valve_defects	83	CHD
NSD1	Valve_defects	83	CHD
NUP188	Valve_defects	83	CHD
PBX1	Valve_defects	83	CHD
PIGL	Valve_defects	83	CHD
PKD1L1	Valve_defects	83	CHD
PRKD1	Valve_defects	83	CHD
PTPN11	Valve_defects	83	CHD
RAF1	Valve_defects	83	CHD
RIT1	Valve_defects	83	CHD
SALL1	Valve_defects	83	CHD
SETD5	Valve_defects	83	CHD
SHOC2	Valve_defects	83	CHD
SMAD2	Valve_defects	83	CHD
SMAD3	Valve_defects	83	CHD
SMAD4	Valve_defects	83	CHD
SMAD6	Valve_defects	83	CHD
SMARCA4	Valve_defects	83	CHD
SMARCB1	Valve_defects	83	CHD
SMARCE1	Valve_defects	83	CHD
SMC1A	Valve_defects	83	CHD
SMC3	Valve_defects	83	CHD
SMG9	Valve_defects	83	CHD
SOS1	Valve_defects	83	CHD
TAB2	Valve_defects	83	CHD
TGFBR2	Valve_defects	83	CHD
TMEM260	Valve_defects	83	CHD
TRAF7	Valve_defects	83	CHD
ZEB2	Valve_defects	83	CHD
ZIC3	Valve_defects	83	CHD
ARID1A	Malformation_of_outflow_tracts	67	CHD
CFC1	Malformation_of_outflow_tracts	67	CHD
CHD4	Malformation_of_outflow_tracts	67	CHD
CHST14	Malformation_of_outflow_tracts	67	CHD
CREBBP	Malformation_of_outflow_tracts	67	CHD
FGFR2	Malformation_of_outflow_tracts	67	CHD
FLNA	Malformation_of_outflow_tracts	67	CHD
KMT2D	Malformation_of_outflow_tracts	67	CHD
KYNU	Malformation_of_outflow_tracts	67	CHD
MEIS2	Malformation_of_outflow_tracts	67	CHD
NF1	Malformation_of_outflow_tracts	67	CHD
NKX2-5	Malformation_of_outflow_tracts	67	CHD
NODAL	Malformation_of_outflow_tracts	67	CHD
NOTCH1	Malformation_of_outflow_tracts	67	CHD
SMAD4	Malformation_of_outflow_tracts	67	CHD
SMAD6	Malformation_of_outflow_tracts	67	CHD
STRA6	Malformation_of_outflow_tracts	67	CHD
TBX1	Malformation_of_outflow_tracts	67	CHD
TBX20	Malformation_of_outflow_tracts	67	CHD
TMEM260	Malformation_of_outflow_tracts	67	CHD
ZEB2	Malformation_of_outflow_tracts	67	CHD
ACVR1	Atrioventricular_septal_defect	28	CHD
ACVR1	Malformation_of_outflow_tracts	67	CHD
ACVR2B	Atrioventricular_septal_defect	28	CHD
ACVR2B	Malformation_of_outflow_tracts	67	CHD
ANKRD11	Atrioventricular_septal_defect	28	CHD
ARID1B	Atrioventricular_septal_defect	28	CHD
BCOR	Malformation_of_outflow_tracts	67	CHD
BMPR2	Atrioventricular_septal_defect	28	CHD
BMPR2	Malformation_of_outflow_tracts	67	CHD
CFC1	Atrioventricular_septal_defect	28	CHD
CRELD1	Atrioventricular_septal_defect	28	CHD
DLL4	Malformation_of_outflow_tracts	67	CHD
DNAH11	Atrioventricular_septal_defect	28	CHD
DNAH11	Malformation_of_outflow_tracts	67	CHD
DNAH11	Functional_single_ventricle	22	CHD
DNAH5	Atrioventricular_septal_defect	28	CHD
EVC	Atrioventricular_septal_defect	28	CHD
EVC	Malformation_of_outflow_tracts	67	CHD
EVC2	Atrioventricular_septal_defect	28	CHD
EVC2	Malformation_of_outflow_tracts	67	CHD
FGFR2	Functional_single_ventricle	22	CHD
FLNA	Atrioventricular_septal_defect	28	CHD
FLNA	Functional_single_ventricle	22	CHD
FLT4	Malformation_of_outflow_tracts	67	CHD
FOXC1	Malformation_of_outflow_tracts	67	CHD
FOXC2	Malformation_of_outflow_tracts	67	CHD
FOXH1	Malformation_of_outflow_tracts	67	CHD
FOXP1	Atrioventricular_septal_defect	28	CHD
FOXP1	Functional_single_ventricle	22	CHD
GATA4	Atrioventricular_septal_defect	28	CHD
GATA4	Malformation_of_outflow_tracts	67	CHD
GATA4	Functional_single_ventricle	22	CHD
GATA5	Malformation_of_outflow_tracts	67	CHD
GATA6	Atrioventricular_septal_defect	28	CHD
GATA6	Malformation_of_outflow_tracts	67	CHD
GDF1	Atrioventricular_septal_defect	28	CHD
GDF1	Malformation_of_outflow_tracts	67	CHD
GJA1	Functional_single_ventricle	22	CHD
GLI3	Atrioventricular_septal_defect	28	CHD
GLI3	Malformation_of_outflow_tracts	67	CHD
HAAO	Functional_single_ventricle	22	CHD
HAND1	Functional_single_ventricle	22	CHD
HAND2	Malformation_of_outflow_tracts	67	CHD
HNRNPK	Malformation_of_outflow_tracts	67	CHD
JAG1	Malformation_of_outflow_tracts	67	CHD
KDM6A	Functional_single_ventricle	22	CHD
KDR	Malformation_of_outflow_tracts	67	CHD
KYNU	Functional_single_ventricle	22	CHD
LTBP2	Malformation_of_outflow_tracts	67	CHD
MED13L	Malformation_of_outflow_tracts	67	CHD
MEIS2	Functional_single_ventricle	22	CHD
MESP1	Malformation_of_outflow_tracts	67	CHD
MYH6	Malformation_of_outflow_tracts	67	CHD
NKX2-5	Atrioventricular_septal_defect	28	CHD
NKX2-5	Functional_single_ventricle	22	CHD
NKX2-6	Malformation_of_outflow_tracts	67	CHD
NODAL	Atrioventricular_septal_defect	28	CHD
NODAL	Functional_single_ventricle	22	CHD
NOTCH1	Functional_single_ventricle	22	CHD
NOTCH2	Malformation_of_outflow_tracts	67	CHD
NPHP4	Atrioventricular_septal_defect	28	CHD
NPHP4	Malformation_of_outflow_tracts	67	CHD
NR2F2	Atrioventricular_septal_defect	28	CHD
PBX1	Malformation_of_outflow_tracts	67	CHD
PIGL	Malformation_of_outflow_tracts	67	CHD
PITX2	Malformation_of_outflow_tracts	67	CHD
PKD1L1	Malformation_of_outflow_tracts	67	CHD
PKD1L1	Functional_single_ventricle	22	CHD
PRKACB	Atrioventricular_septal_defect	28	CHD
PRKD1	Atrioventricular_septal_defect	28	CHD
PRKD1	Malformation_of_outflow_tracts	67	CHD
RAB23	Malformation_of_outflow_tracts	67	CHD
RAD21	Malformation_of_outflow_tracts	67	CHD
RAF1	Malformation_of_outflow_tracts	67	CHD
RBFOX2	Functional_single_ventricle	22	CHD
SALL1	Malformation_of_outflow_tracts	67	CHD
SALL4	Malformation_of_outflow_tracts	67	CHD
SETD5	Atrioventricular_septal_defect	28	CHD
SF3B4	Atrioventricular_septal_defect	28	CHD
SF3B4	Malformation_of_outflow_tracts	67	CHD
SMAD2	Atrioventricular_septal_defect	28	CHD
SMAD2	Malformation_of_outflow_tracts	67	CHD
SMAD3	Functional_single_ventricle	22	CHD
SMARCA4	Functional_single_ventricle	22	CHD
SMC3	Malformation_of_outflow_tracts	67	CHD
STRA6	Functional_single_ventricle	22	CHD
TAB2	Malformation_of_outflow_tracts	67	CHD
TBX20	Functional_single_ventricle	22	CHD
TBX5	Atrioventricular_septal_defect	28	CHD
TFAP2B	Malformation_of_outflow_tracts	67	CHD
TRAF7	Functional_single_ventricle	22	CHD
UBR1	Malformation_of_outflow_tracts	67	CHD
ZFPM2	Malformation_of_outflow_tracts	67	CHD
ZIC3	Atrioventricular_septal_defect	28	CHD
ZIC3	Malformation_of_outflow_tracts	67	CHD
ZIC3	Functional_single_ventricle	22	CHD
